repository,benchmark_id,mode,passed_specs,total_specs,full_repository,authority,artifact_sha256,official_report_sha256,plan_root,receipt_root
"json","json-v2","proof",64,64,true,"SIGNED_SOFTWARE_PLAN_BUILD_THEN_UNTOUCHED_VERO","3f6f37ef3de1f5f82eae515f045ff8476e3347325f8c9860b277f70f05b55742","680984aae8381a059ff08bdf68df8665df156169c0864ef7fd07bcf12239a3f2","95a1aea8283c7fcfeb7b54fce991b4bc87db730b9ca99040125741672de77298","afc226c05beea0621b7295ed3c022cd9dcb1ff8ed8bfe50bb45a606ec83d0559"
"jsonpatch","jsonpatch","proof",27,27,true,"SIGNED_SOFTWARE_PLAN_BUILD_THEN_UNTOUCHED_VERO","20b3d45340879d9410422da4855f5b1a344219f324381a285d8fe7cd3abf1b48","0b5ff96c0ce57f0d20f0c327fdfaae7a962150c1f1cce9e825161d2f255c0974","a3e0f040ed2d0558d4868bcac40b6bbc960ca145ee5be172d899447898247721","48ba571eb2d7d4afbbf70bc2ebba318c3566ea506b47f89312b27ed9deae292b"
"linked_list","linked_list","proof",109,109,true,"SIGNED_SOFTWARE_PLAN_BUILD_THEN_UNTOUCHED_VERO","2c93a6e6793170284203c4ffa898540d1cdbca457b693090cca911574a324fb0","e9ea6487b5ab2f00c23764def10f89231dd9206f545d524cb908f590823fd8ad","e252d9fa2b6872715bfc4156b29ffe61dc43e524f96e2315962bfc23b96874e6","212636bb6384aa108be3d1b1410d9159d86685383439777b4e50b796e0d033eb"
"munkres","munkres","codeproof",19,19,true,"SIGNED_SOFTWARE_PLAN_BUILD_THEN_UNTOUCHED_VERO","798e650cc8d7273626a62133f83f8a74fca8639cb972e645e9cbd1f7a20961fa","01183871bb09f3fdb7344e32ab3fbcd3e4bd119d7335e6714bd42432d4a570af","2bf618a01eea38cf68881908f013d918e5116f0dd4fd665108d37660b5427543","b4c147f1ab2ba234479fbf79ec5a1c4de5ddcd9dd141553a99c5c97d81f23ce1"
"netaddr","netaddr","proof",40,40,true,"SIGNED_SOFTWARE_PLAN_BUILD_THEN_UNTOUCHED_VERO","1dadf7fef55dae2c8b16ab53214952a67b1f14519bd50c9212e4eda0263674f7","26ec98710f2ba3f6680061a6ad72c1ef5d2a64f442f4be8a83d81d0e28a1bf25","945471f3a4f3e1001ea25f32ab517eb92c6ae04a1ae08bad43efbfd753ca1af2","a2d62d419e4b7494493bf5d67367bf95410b84338c19282b296b45e3e75fa3aa"
"networkx","networkx","proof",40,40,true,"SIGNED_SOFTWARE_PLAN_BUILD_THEN_UNTOUCHED_VERO","bfea64ff7bc90fac0ec4005212db8bb2640a2e12c61df9a4ccd5eb9d973b5480","6d1022122d9681202a1a927abc301be08d512d731bc0aed3f50be089000ce9e1","7a467dc911f9a758875a7b0ed34eb50c546c6bfb062855fb04cea98357f7e573","9425fed0b4ee8d9fad106c36238fc77842ea8130565ad135056bf1dd72fb9d4c"
"ntheory","ntheory","codeproof",62,62,true,"SIGNED_SOFTWARE_PLAN_BUILD_THEN_UNTOUCHED_VERO","a1fb5fe2a7a69e54dcf5f094caa6b7fc401025df8d6606de43c2540f9843a297","c48d6db2c6b395c006805a575cc8959ee1f5ed859ca6a4bd86d26c56c27da13c","be7cc4a0a8c26ed793117427b3c73463e66b4d2ff60c4409af8b0795e0e4e452","172c28e97eeb959093e83d44e7380ef46882861a08ec86d24769df9827624f56"
"packaging_version","packaging_version","proof",74,74,true,"SIGNED_SOFTWARE_PLAN_BUILD_THEN_UNTOUCHED_VERO","86feb497946beeda9a9da6449dfeb19c7f7483ceae4e63cd1d97209ae585daeb","371e5a086995504b2da65b7abf833a86c3b0be5a57024157afba592d155ddf91","e1b8c3272bd721d95ff978db0032246068558254ae279cd45670fa7272c0e81a","937b484fa15513031496be14c515f47b07976a2079da23675db7b624da417b28"
"piggybank","piggybank-v2","proof",23,23,true,"PINNED_UNTOUCHED_VERO_REPORT","c9873f44dac6981d72c4a19654637e78bb91493945384b5489d386e67f898c79","ee2e29f00c90916e3cf766e7cbe7b5d1a41ab0ee5afaac1d814e5714f7be4c64","",""
"portion","portion","proof",63,63,true,"SIGNED_SOFTWARE_PLAN_BUILD_THEN_UNTOUCHED_VERO","d3760c40ed27efe07146719ec1d818e93b89d4b334d3fce4495b334afb1733bb","657452f1fa0b13cd4762b7cd64f990851013a330755a8b95605ad5fb46d67ebe","665faccc84ebe73ba83928f344df90b25da5b4afd74462c3844f8753ef7ba5d7","ac9a958ca5cd87dc389ee91eacc34eea53c0c65ae7f6af9f1fa6dfadefd9f173"
